t	La
0	0	0
0.01	2.51327412287184	2.79252680319093
0.02	5.30580092606276	5.58505360638186
0.03	8.09832772925369	8.37758040957279
0.04	10.8908545324446	11.1701072127637
0.05	13.6833813356355	13.9626340159546
0.06	16.4759081388265	16.7551608191456
0.07	19.2684349420174	19.5476876223365
0.0800000000000001	22.0349120548801	22.3402144255274
0.0900000000000001	24.827438858071	25.1327412287184
0.1	27.6199656612619	27.9252680319093
0.11	30.4124924644529	30.7177948351002
0.12	32.5605875370547	33.5103216382912
0.13	35.3531143402456	36.3028484414821
0.14	38.1456411434366	39.095375244673
0.15	40.9381679466275	41.8879020478639
0.16	43.7079012707812	44.6804288510549
0.17	46.5004280739722	47.4729556542458
0.18	49.0590671565906	50.2654824574367
0.19	51.8515939597816	53.0580092606277
0.2	54.6441207629725	55.8505360638186
0.21	57.4366475661635	58.6430628670095
0.22	60.2291743693544	61.4355896702004
0.23	62.8504127060451	64.2281164733914
0.24	65.6429395092361	67.0206432765823
0.25	68.1817187227021	69.8131700797732
0.26	70.974245525893	72.6056968829642
0.27	73.766772329084	75.3982236861551
0.28	76.5240999977369	78.190750489346
0.29	79.1665782083079	80.9832772925369
0.3	81.9588148757377	83.7758040957279
0.31	84.7513416789286	86.5683308989188
0.32	87.3694891530474	89.3608577021097
0.33	90.1304243622831	92.1533845053007
0.34	92.922951165474	94.9459113084916
0.35	95.5909922243916	97.7384381116825
0.36	98.3835190275826	100.530964914873
0.37	101.176045830773	103.323491718064
0.38	103.964344289035	106.116018521255
0.39	106.679008357644	108.908545324446
0.4	109.401447332019	111.701072127637
0.41	112.19397413521	114.493598930828
0.42	114.869659343747	117.286125734019
0.43	117.662186146938	120.07865253721
0.44	120.460820638174	122.871179340401
0.45	123.143687874608	125.663706143592
0.46	125.936214677799	128.456232946783
0.47	128.633781606286	131.248759749974
0.48	131.426308409477	134.041286553165
0.49	134.19459839258	136.833813356356
0.5	136.977246672279	139.626340159546
0.51	139.658228000185	142.418866962737
0.52	142.37920803549	145.211393765928
0.53	145.165338574388	148.003920569119
0.54	147.907603133476	150.79644737231
0.55	150.663460235536	153.588974175501
0.56	153.306095887973	156.381500978692
0.57	156.098622691163	159.174027781883
0.58	158.879573461396	161.966554585074
0.59	161.589766932876	164.759081388265
0.6	164.393577752776	167.551608191456
0.61	167.144290659601	170.344134994647
0.62	169.901744064607	173.136661797838
0.63	172.547586801201	175.929188601029
0.64	175.340113604392	178.721715404219
0.65	178.132640407583	181.51424220741
0.66	180.923728137442	184.306769010601
0.67	183.689305950368	187.099295813792
0.68	186.479659769244	189.891822616983
0.690000000000001	189.196574489968	192.684349420174
0.700000000000001	191.975922714647	195.476876223365
0.710000000000001	194.833661178813	198.269403026556
0.720000000000001	197.626187982004	201.061929829747
0.730000000000001	200.285475958073	203.854456632938
0.740000000000001	203.078002761264	206.646983436129
0.750000000000001	205.853892114344	209.43951023932
0.760000000000001	208.517555442413	212.232037042511
0.770000000000001	211.284078502673	215.024563845702
0.780000000000001	213.987267612956	217.817090648893
0.790000000000001	216.747171948591	220.609617452083
0.800000000000001	219.442338407587	223.402144255274
0.810000000000001	222.234865210778	226.194671058465
0.820000000000001	225.0273472447	228.987197861656
0.830000000000001	227.833616563863	231.779724664847
0.840000000000001	230.603841792147	234.572251468038
0.850000000000001	233.35948556278	237.364778271229
0.860000000000001	236.106047796247	240.15730507442
0.870000000000001	238.83514530591	242.949831877611
0.880000000000001	241.552089867205	245.742358680802
0.890000000000001	244.293484658443	248.534885483993
0.900000000000001	246.971049474167	251.327412287184
0.910000000000001	249.74078826919	254.119939090375
0.920000000000001	252.516221410527	256.912465893566
0.930000000000001	255.265495596507	259.704992696756
0.940000000000001	257.984108515936	262.497519499947
0.950000000000001	260.823439690507	265.290046303138
0.960000000000001	263.58957512469	268.082573106329
0.970000000000001	266.32173938289	270.87509990952
0.980000000000001	269.081936711105	273.667626712711
0.990000000000001	271.798959629567	276.460153515902
1	274.566697750948	279.252680319093
1.011	277.616264090997	282.324459802603
1.021	280.406569364869	285.116986605793
1.031	283.154578499003	287.909513408984
1.041	285.841821967464	290.702040212174
1.051	288.627359542415	293.494567015365
1.06099999999999	291.364455684269	296.287093818556
1.07099999999999	294.083752385292	299.079620621746
1.08099999999999	296.859032935592	301.872147424937
1.09099999999999	299.660534621322	304.664674228128
1.10099999999999	302.400815890018	307.457201031318
1.11099999999999	305.162002452404	310.249727834509
1.12099999999999	307.972205978236	313.042254637699
1.13099999999999	310.708807656121	315.83478144089
1.14099999999999	313.420821447105	318.627308244081
1.15099999999998	316.167228221981	321.419835047271
1.16099999999998	318.914502430283	324.212361850462
1.17099999999998	321.690279848883	327.004888653652
1.18099999999998	324.440717690754	329.797415456843
1.19099999999998	327.206501814168	332.589942260034
1.20099999999998	330.009933949733	335.382469063224
1.21099999999998	332.734606436244	338.174995866415
1.22099999999998	335.505543039352	340.967522669606
1.23099999999998	338.252083114634	343.760049472796
1.24099999999997	340.998041717328	346.552576275987
1.25099999999997	343.78385469946	349.345103079177
1.26099999999997	346.527566076111	352.137629882368
1.27099999999997	349.29589763125	354.930156685559
1.28099999999997	352.004379404066	357.722683488749
1.29099999999997	354.777709563481	360.51521029194
1.30099999999997	357.498325201323	363.307737095131
1.31099999999997	360.271066800564	366.100263898321
1.32099999999997	363.034631948977	368.892790701512
