t	T
0	894.5	894.5
0.002	894.41	894.41
0.0041	894.315500000002	894.3155
0.006	894.23000000001	894.23
0.00800000000000001	894.140000000025	894.14
0.0101	894.04550000005	894.0455
0.0121	893.955500000082	893.9555
0.0141	893.865500000126	893.8655
0.0161	893.775500000184	893.7755
0.0180999999999999	893.685500000257	893.6855
0.0200999999999999	893.595500000345	893.5955
0.0220999999999999	893.50550000045	893.5055
0.0240999999999999	893.415500000574	893.4155
0.0260999999999999	893.325500000718	893.3255
0.0280999999999999	893.235500000884	893.2355
0.0300999999999999	893.145500001075	893.1455
0.0320999999999999	893.055500001292	893.0555
0.0341	892.965500001537	892.9655
0.036	892.880000001797	892.88
0.0380000000000001	892.790000002102	892.79
0.0400000000000001	892.700000002441	892.7
0.0420000000000002	892.610000002816	892.61
0.0440000000000002	892.520000003229	892.52
0.0460000000000003	892.430000003682	892.43
0.0480000000000003	892.340000004178	892.34
0.0500000000000004	892.250000004718	892.25
0.0520000000000005	892.160000005304	892.16
0.0540000000000005	892.070000005939	892.07
0.0560000000000006	891.980000006626	891.98
0.0580000000000006	891.890000007365	891.89
0.0600000000000007	891.800000008159	891.8
0.0620000000000007	891.710000009012	891.71
0.0640000000000008	891.620000009924	891.62
0.0660000000000009	891.530000010898	891.53
0.0680000000000009	891.440000011936	891.44
0.070000000000001	891.350000013041	891.35
0.072000000000001	891.260000014216	891.26
0.0740000000000011	891.170000015961	891.17
0.0760000000000012	891.080000019764	891.08
0.0780000000000012	890.990000024033	890.99
0.0800000000000013	890.9000000288	890.9
0.0820000000000013	890.810000034099	890.81
0.0840000000000014	890.720000039968	890.72
0.0860000000000014	890.630000046449	890.63
0.0880000000000015	890.540000053588	890.54
0.0900000000000016	890.450000061435	890.45
0.0920000000000016	890.360000070043	890.36
0.0940000000000017	890.270000079472	890.27
0.0960000000000017	890.180000089785	890.18
0.0980000000000018	890.090000101052	890.09
0.100000000000002	890.00000011335	890
0.102000000000002	889.91000012676	889.91
0.104000000000002	889.820000141372	889.82
0.106000000000002	889.730000157283	889.73
0.108000000000002	889.640000174598	889.64
0.110000000000002	889.550000193434	889.55
0.112000000000002	889.460000213913	889.46
0.114000000000002	889.370000236175	889.37
0.116000000000002	889.280000260391	889.28
0.118000000000002	889.190000286761	889.19
0.120000000000002	889.100000315505	889.1
0.122000000000002	889.010000346869	889.01
0.124000000000003	888.920000381122	888.92
0.126000000000002	888.830000418565	888.83
0.128000000000002	888.740000459529	888.74
0.130000000000002	888.650000504381	888.65
0.132000000000002	888.560000553528	888.56
0.134000000000002	888.47000060742	888.47
0.136000000000001	888.380000666554	888.38
0.138000000000001	888.290000731481	888.29
0.140000000000001	888.200000802809	888.2
0.142000000000001	888.110000881213	888.11
0.144	888.020000967435	888.02
0.146	887.930001062297	887.93
0.148	887.840001166706	887.84
0.1501	887.74550128771	887.7455
0.1521	887.655501414938	887.6555
0.154099999999999	887.565501555104	887.5655
0.156099999999999	887.475501709559	887.4755
0.158099999999999	887.38550187979	887.3855
0.160099999999999	887.295502067436	887.2955
0.162099999999998	887.205502274302	887.2055
0.164099999999998	887.115502502371	887.1155
0.166099999999998	887.025502753826	887.02551
0.168099999999998	886.935503031063	886.93551
0.170099999999998	886.845503336716	886.84551
