t	fs
0	0	0
0.01	3.6E-07	1.39626340159546E-06
0.02	1.60444444444445E-06	5.58505360638186E-06
0.03	3.73777777777778E-06	1.25663706143592E-05
0.04	6.76E-06	2.23402144255275E-05
0.05	1.06711111111111E-05	3.49065850398866E-05
0.06	1.54711111111111E-05	5.02654824574368E-05
0.07	2.116E-05	6.84169066781778E-05
0.0800000000000001	2.77377777777778E-05	8.93608577021098E-05
0.0900000000000001	3.52044444444445E-05	0.000113097335529233
0.1	4.35600000000001E-05	0.000139626340159547
0.11	5.28044444444447E-05	0.000168947871593051
0.12	6.29377777777781E-05	0.000201061929829747
0.13	7.39600000000004E-05	0.000235968514869634
0.14	8.58711111111116E-05	0.000273667626712711
0.15	9.80296049406921E-05	0.00031415926535898
0.16	0.00018407731469126	0.000357443430808439
0.17	0.000198792960949763	0.00040352012306109
0.18	0.000214669604940693	0.000452389342116931
0.19	0.000231707246664049	0.000504051087975963
0.2	0.000249905886119831	0.000558505360638186
0.21	0.00026926552330804	0.0006157521601036
0.22	0.000289786158228675	0.000675791486372205
0.23	0.00042256605677769	0.000738623339444001
0.24	0.000461225771299337	0.000804247719318988
0.25	0.0005020987635791	0.000872664625997166
0.26	0.00054518503361698	0.000943874059478535
0.27	0.000590484581412976	0.00101787601976309
0.28	0.000637997406967089	0.00109467050685084
0.29	0.000687723510279319	0.00117425752074179
0.3	0.000862508204536472	0.00125663706143592
0.31	0.000899092758470189	0.00134180912893324
0.32	0.000937394473526911	0.00142977372323376
0.33	0.000977413349706636	0.00152053084433746
0.34	0.00101914938700937	0.00161408049224436
0.35	0.00134037302862435	0.00171042266695445
0.36	0.00140842150065264	0.00180955736846772
0.37	0.00145686665760965	0.00191148459678419
0.38	0.00150747316203272	0.00201620435190385
0.39	0.00156024101392185	0.0021237166338267
0.4	0.00161517021327704	0.00223402144255275
0.41	0.00167226076009829	0.00234711877808198
0.42	0.00173151265438559	0.0024630086404144
0.43	0.00179292589613896	0.00258169102955002
0.44	0.00185650048535838	0.00270316594548882
0.45	0.00224506608639662	0.00282743338823082
0.46	0.0023173172078826	0.00295449335777601
0.47	0.00239218803954459	0.00308434585412438
0.48	0.00246939039608319	0.00321699087727595
0.49	0.00283811007241301	0.00335242842723071
0.5	0.00289722116580576	0.00349065850398866
0.51	0.00295850339393148	0.00363168110754981
0.52	0.00302195675679015	0.00377549623791414
