t	T
0	894.5	894.5
0.002	894.41	894.41
0.0041	894.315500000004	894.3155
0.006	894.230000000019	894.23
0.00800000000000001	894.140000000047	894.14
0.0101	894.04550000009	894.0455
0.0121	893.955500000145	893.9555
0.0141	893.865500000217	893.8655
0.0161	893.775500000306	893.7755
0.0180999999999999	893.685500000415	893.6855
0.0200999999999999	893.595500000545	893.5955
0.0220999999999999	893.5055000007	893.5055
0.0240999999999999	893.41550000088	893.4155
0.0260999999999999	893.325500001088	893.3255
0.0280999999999999	893.235500001328	893.2355
0.0300999999999999	893.145500001601	893.1455
0.0320999999999999	893.05550000191	893.0555
0.0341	892.965500002258	892.9655
0.036	892.880000002626	892.88
0.0380000000000001	892.790000003057	892.79
0.0400000000000001	892.700000003534	892.7
0.0420000000000002	892.610000004062	892.61
0.0440000000000002	892.520000004642	892.52
0.0460000000000003	892.430000005277	892.43
0.0480000000000003	892.34000000597	892.34
0.0500000000000004	892.250000006724	892.25
0.0520000000000005	892.160000007542	892.16
0.0540000000000005	892.070000008428	892.07
0.0560000000000006	891.980000009383	891.98
0.0580000000000006	891.890000010411	891.89
0.0600000000000007	891.800000011515	891.8
0.0620000000000007	891.710000012699	891.71
0.0640000000000008	891.620000013964	891.62
0.0660000000000009	891.530000015316	891.53
0.0680000000000009	891.440000016755	891.44
0.070000000000001	891.350000018207	891.35
0.072000000000001	891.260000027691	891.26
0.0740000000000011	891.170000038505	891.17
0.0760000000000012	891.080000050738	891.08
0.0780000000000012	890.990000064492	890.99
0.0800000000000013	890.900000079879	890.9
0.0820000000000013	890.810000097024	890.81
0.0840000000000014	890.720000116063	890.72
0.0860000000000014	890.630000137148	890.63
0.0880000000000015	890.540000160444	890.54
0.0900000000000016	890.450000186131	890.45
0.0920000000000016	890.360000214406	890.36
0.0940000000000017	890.270000245486	890.27
0.0960000000000017	890.180000279605	890.18
0.0980000000000018	890.090000317021	890.09
0.100000000000002	890.000000358016	890
0.102000000000002	889.910000402895	889.91
0.104000000000002	889.820000451995	889.82
0.106000000000002	889.73000050568	889.73
0.108000000000002	889.640000564351	889.64
0.110000000000002	889.550000628443	889.55
0.112000000000002	889.460000698433	889.46
0.114000000000002	889.370000774841	889.37
0.116000000000002	889.280000858247	889.28
0.118000000000002	889.190000949354	889.19
0.120000000000002	889.10000104897	889.1
0.122000000000002	889.010001157991	889.01
0.124000000000003	888.920001277409	888.92
0.126000000000002	888.830001408328	888.83
0.128000000000002	888.740001551972	888.74
0.130000000000002	888.650001709694	888.65
0.132000000000002	888.560001883	888.56
0.134000000000002	888.470002073556	888.47
0.136000000000001	888.38000228321	888.38
0.138000000000001	888.290002514008	888.29
0.140000000000001	888.200002768217	888.2
0.142000000000001	888.110003048346	888.11
0.144	888.020003357175	888.02
0.146	887.930003697775	887.93
0.148	887.840004073544	887.84
0.1501	887.745504510069	887.7455
0.1521	887.65550497011	887.6555
0.154099999999999	887.565505478049	887.5655
0.156099999999999	887.475506038969	887.4755
0.158099999999999	887.385506658475	887.3855
0.160099999999999	887.295507342746	887.2955
0.162099999999998	887.205508098589	887.2055
0.164099999999998	887.115508933503	887.1155
0.166099999999998	887.025509855736	887.02551
0.168099999999998	886.935510874361	886.93551
0.170099999999998	886.845511999351	886.84551
