t;VF31;VF30;VF29;VF28;VF27;VF26;VF25;VF24;VF23;VF22;VF21;VF20;VF19;VF18;VF17;VF16;VF15;VF14;VF13;VF12;VF11;VF10;VF9;VF8;VF7;VF6;VF5;VF4;VF3;VF2;VF1;VF0;
0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
20.000000;0.300000;0.300000;0.300000;0.300000;0.042929;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
40.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.287374;0.000505;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
60.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.204040;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
80.002000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.181818;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
100.002000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.221717;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
120.002000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.179798;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
140.002000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.137879;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
160.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.229798;0.000000;0.000505;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
180.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.227273;0.001010;0.001010;0.000505;0.000505;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
200.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.293939;0.031818;0.000000;0.000000;0.000505;0.001010;0.000505;0.000000;0.000000;
220.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.265657;0.004040;0.000000;0.000000;0.000000;0.000000;
240.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.281313;0.017172;0.000505;
260.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;
280.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;
300.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;
320.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;
340.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;
360.000000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;0.300000;
